2024-11-18T18:21:22.616+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":6},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors1440.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:21:23.103+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":7},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1440.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:21:26.149+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":8},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1440x.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:21:29.114+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":9},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1440x1.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:21:29.366+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":10},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1440x10.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:21:29.658+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":11},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1440x108.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:21:29.916+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":12},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1440x1080.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:21:39.513+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":13},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/140x1080.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:21:39.793+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":14},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/10x1080.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:21:40.804+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":16},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1920x1080.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
